property_id,name,district,price,beds,baths,area,build_time,location,time_to_school,distance_to_mrt,latitude,longitude,public_facilities,facility_type,costScore,commuteScore,neighborhoodScore,device_id,dwell_time,favorite,update_time
309,2 Room (2A) HDB for Rent in 10 Jalan Bukit Ho Swee,Clementi,2500,1,1,365,1971,10 Jalan Bukit Ho Swee,62,159,1.28745837020188,103.832675765986,"[{'Tiong Bahru Market': '300'}, {'library@chinatown': '1386'}, {'GANGES AVE OS': '381'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '476'}]",HDB,0.97,0.08,1.0,device_1,15.7,True,2025-10-28 03:22:51.834043+00:00
157,Harbourlights,Clementi,1350,1,0,100,1997,68 Telok Blangah Road,55,350,1.26656010595853,103.822892515541,"[{'Telok Blangah Rise Blk 36 (Telok Blangah Rise Market)': '688'}, {'library@harbourfront': '323'}, {'MOUNT FABER PARK': '593'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '328'}]",Apartment,0.99,0.21,1.0,device_1,78.52,False,2025-10-28 03:24:46.913892+00:00
246,2 Bed Apartment (Condo) for Rent in One Pearl Bank,Bukit Merah East,5800,2,1,700,2024,"One Pearl Bank, 1 Pearl Bank",56,185,1.28296148659589,103.839814598308,"[{""New Market Road Blk 32 (People's Park Food Centre)"": '372'}, {'library@chinatown': '624'}, {""PEARL'S HILL CITY PK"": '209'}, {'WAN SIEW YOONG': '367'}]",Condo,0.91,0.19,0.66,device_1,64.78,False,2025-10-28 03:26:08.811853+00:00
519,3+1 Bed Condo for Rent in Jawolai Regency (A),Clementi,8000,3,2,2496,2003,49 Jervois Road 249081,62,793,1.29449097781879,103.822065328522,"[{'Redhill Lane Blk 79 (Redhill Market)': '843'}, {""Singapore Botanic Gardens' Library"": '1602'}, {'TIONG BAHRU PK': '790'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '566'}]",Condo,0.87,0.08,1.0,device_1,69.27,False,2025-10-28 03:27:40.328703+00:00
105,9B Boon Tiong Road,Clementi,1100,1,0,200,2016,9B Boon Tiong Road,62,460,1.28681417822795,103.828928312802,"[{'Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre)': '149'}, {'library@chinatown': '1790'}, {'KIM PONG PARK': '367'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '225'}]",HDB,0.99,0.08,1.0,device_1,55.7,False,2025-10-28 03:29:09.814214+00:00
32,327C Sumang Walk,Punggol,800,1,0,100,2018,327C Sumang Walk,15,580,1.41206930290767,103.899974279726,"[{'One Punggol Hawker Centre': '684'}, {'Punggol Regional Library': '669'}, {'PUNGGOL WATERWAY PK': '551'}, {'SHENG SIONG SUPERMARKET PTE LTD': '145'}]",HDB,1.0,0.98,0.86,device_1,45.86,False,2025-10-28 03:30:32.215757+00:00
495,3 Room (3STD) HDB for Rent in 6 Telok Blangah Crescent,Clementi,3000,2,1,643,1975,6 Telok Blangah Crescent 090006,63,1800,1.27814081311562,103.818484019328,"[{'Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre)': '87'}, {'library@harbourfront': '1610'}, {'MOUNT FABER PARK': '844'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '102'}]",HDB,0.96,0.06,1.0,device_1,55.2,False,2025-10-28 03:31:57.003387+00:00
161,Short-Term Co-Living,Clementi,1800,1,0,86,,near HarbourFront,56,60,1.26347253624101,103.820227174699,"[{'Telok Blangah Rise Blk 36 (Telok Blangah Rise Market)': '1054'}, {'library@harbourfront': '163'}, {'MOUNT FABER PARK': '789'}, {'COLD STORAGE SINGAPORE (1983) PTE LTD': '158'}]",Apartment,0.5,0.56,0.97,device_2,24.48,True,2025-10-28 03:22:55.481944+00:00
65,"Eastpoint Green, 1 Simei Street 3",Changi,1288,1,0,80,1998,1 Simei Street 3,66,610,1.33954520418255,103.951022111706,"[{'Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre)': '959'}, {'Tampines Regional Library': '1938'}, {'SEA BREEZE AVENUE PARK': '162'}, {'NTUC FAIRPRICE CO-OPERATIVE LTD': '414'}]",Condo,0.93,0.4,0.97,device_2,48.48,False,2025-10-28 03:24:03.045483+00:00
138,4-min Walk to Potong Pasir MRT,Woodleigh,1450,1,1,100,2010,Potong Pasir,41,310,1.33574084734373,103.865665596118,"[{'Woodleigh Village Hawker Centre': '836'}, {'Toa Payoh Public Library': '1652'}, {'GREENWAY SOUTH': '714'}, {'HAO MART PTE. LTD.': '255'}]",Apartment,0.79,0.79,1.0,device_2,44.06,False,2025-10-28 03:25:14.249539+00:00
